CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,FLAGS,FROMSYMBOL,HIGH24HOUR,HIGHDAY,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,OPEN24HOUR,OPENDAY,PRICE,SUPPLY,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,api,coin,coin_units,computer_name,loop,timestamp_api_call
2.54225378,0,114.437499955,0,4,007,4.76377538,4.76377538,Yobit,0,1514250041,0,0,2.2215216,4.76377538,CCCAGG,0,2.2215216,4.76377538,4.76377538,0,USD,1.32470603,6.31060197145,5,0,0,0,0,cryptocompare,007,1,JordanManual,1,2017-12-25 18:00:54.294383
-4.646e-05,0,-35.7384615385,0,4,1337,0.00098,8.354e-05,Yobit,174903912,1514225117,7085.48743117,0.59192162,8.352e-05,8.354e-05,CCCAGG,2255512.43342,0.00013,8.354e-05,8.354e-05,26999191206.8,USD,111533400.719,9328.50151316,5,211220.216578,28.6465540005,0,0,cryptocompare,1337,1,JordanManual,1,2017-12-25 18:00:58.784310
0,0,0,0,4,1CR,0.63751979,0.63751979,Novaexchange,0,1514250051,0,0,0.63751979,0.63751979,CCCAGG,56237.5332353,0.63751979,0.63751979,0.63751979,88213,USD,0,0,5,0,0,0,0,cryptocompare,1CR,1,JordanManual,1,2017-12-25 18:01:03.203097
0.39282098,0.25525721,48.741379422,27.0544915913,4,1ST,1.23432216,1.23432216,HitBTC,0,1514250062,0,0,0.79578555,0.93543362,CCCAGG,102563098.585,0.80592914,0.94349291,1.19875012,85558363.5601,USD,11005500.764,13192845.3614,5,0,0,0,0,cryptocompare,1ST,1,JordanManual,1,2017-12-25 18:01:08.216183
0,0,0,0,4,2015,0.3,0.3,Yobit,172812043,1513861253,3.33333333,0.999999999,0.3,0.3,CCCAGG,0,0.3,0.3,0.3,0,USD,0.300000000006,0.0900000000017,5,0,0,0,0,cryptocompare,2015,1,JordanManual,1,2017-12-25 18:01:12.725280
0,0,0,0,4,2BACCO,0.0004,0.0004,Yobit,174941251,1514231795,2478.21622222,0.991286488888,0.0004,0.0004,CCCAGG,0,0.0004,0.0004,0.0004,0,USD,49695.393357,19.8781573428,5,11000,4.4,0,0,cryptocompare,2BACCO,1,JordanManual,1,2017-12-25 18:01:17.841593
-0.00041694,-0.00041694,-1.91082277112,-1.91082277112,4,2GIVE,0.02612832,0.02181992,BitTrex,0,1514250071,0,0,0.02084706,0.02084706,CCCAGG,11113791.7906,0.02181992,0.02181992,0.02140298,519263756.29,USD,30054162.9439,643151.7924,5,16764.7776983,261.960197151,0,0,cryptocompare,2GIVE,1,JordanManual,1,2017-12-25 18:01:22.195339
0,0,0,0,4,32BIT,0.04931568,0.04931568,Yobit,0,1514250077,0,0,0.04931568,0.04931568,CCCAGG,0,0.04931568,0.04931568,0.04931568,0,USD,69.43830984,3.42439746781,5,0,0,0,0,cryptocompare,32BIT,1,JordanManual,1,2017-12-25 18:01:27.685153
0,0,0,0,4,365,0.00013892,0.00013892,Yobit,0,1514250077,0,0,0.00013892,0.00013892,CCCAGG,0,0.00013892,0.00013892,0.00013892,0,USD,10633.313205,1.47717987044,5,0,0,0,0,cryptocompare,365,1,JordanManual,1,2017-12-25 18:01:33.427508
